#
# Individuals Category - Format: TAG,[NAME],[GROUP]
#
KITTEN,HazelsSeven,Apple
KITTEN,HazelsSeven,Coopi
KITTEN,HazelsSeven,Spot
KITTEN,HazelsSeven,Broccoli
KITTEN,HazelsSeven,Riker
KITTEN,HazelsSeven,Seven
KITTEN,HazelsSeven,Trol
#KITTEN,EnglishDesserts,Custard
KITTEN,EnglishDesserts,Shortcake
KITTEN,EnglishDesserts,Cobbler
KITTEN,EnglishDesserts,Toffee
KITTEN,Spices,Nutmeg
KITTEN,Spices,Fennel
KITTEN,Spices,Tamarind
KITTEN,Spices,Clove
KITTEN,Spices,Poppy
KITTEN,LeagueAndWeathercats,Harvey
KITTEN,LeagueAndWeathercats,Cornell
KITTEN,LeagueAndWeathercats,Yale
KITTEN,LeagueAndWeathercats,Cloudy
KITTEN,LeagueAndWeathercats,Stormy
KITTEN,LeagueAndWeathercats,Dusty
KITTEN,Sprigs,Parsley
KITTEN,Sprigs,Basil
KITTEN,Sprigs,Tarragon
KITTEN,Sprigs,Cilantro
KITTEN,Sprigs,Chamomile
KITTEN,Textiles,Tweed
KITTEN,Textiles,Merino
KITTEN,Textiles,Poplin
KITTEN,Textiles,Flannel
KITTEN,Textiles,Chiffon
KITTEN,Textiles,Jacquard
KITTEN,Fonts,Charlie
KITTEN,Fonts,Zapf
KITTEN,Fonts,Baskerville
KITTEN,Fonts,Garamond
KITTEN,Fonts,Wingdings
KITTEN,Coffees,Latte
KITTEN,Coffees,Frappe
KITTEN,Coffees,Bean
KITTEN,Coffees,Caramel
KITTEN,Coffees,Mocha
KITTEN,Coffees,Java
KITTEN,Fish,Halibut
KITTEN,Fish,Trout
KITTEN,Fish,Haddock
KITTEN,Fish,Pomfret
KITTEN,SongAndDance,Kazoo
KITTEN,SongAndDance,Fiddle
KITTEN,SongAndDance,Cello
KITTEN,SongAndDance,Mandoline
KITTEN,SongAndDance,Banjo
KITTEN,SongAndDance,Lute
KITTEN,SongAndDance,Waltz
KITTEN,SongAndDance,ChaCha
KITTEN,SongAndDance,Foxtrot
KITTEN,PateAChoux,Eclair
KITTEN,PateAChoux,Croquembouche
KITTEN,PateAChoux,Beignet
KITTEN,Chillis,Kidney
KITTEN,Chillis,Garbanzo
KITTEN,Chillis,Pinto
KITTEN,Chillis,Tomato
KITTEN,Chillis,Coriander
KITTEN,Chillis,Cayenne
MOMCAT,HazelsSeven,Hazel
MOMCAT,EnglishDesserts,Vicky
MOMCAT,LeagueAndWeathercats,Ivy
MOMCAT,Textiles,Velvet
MOMCAT,Fonts,Arial
MOMCAT,Coffees,Star
MOMCAT,Fish,Angel
MOMCAT,SongAndDance,Song
MOMCAT,PateAChoux,Roux
MOMCAT,Chillis,Chilli
MOMCAT,NotMomcat,Abby
FACULTY,Faculty,Custard
FACULTY,Faculty,Loganberry
FACULTY,Faculty,Ari
FACULTY,Faculty,Acro
FACULTY,Faculty,Eddie
FACULTY,Faculty,Smokey
FACULTY,Faculty,Elsie
HUMAN,Human,DJ
HUMAN,Human,MrA
HUMAN,Human,JimmyD
HUMAN,Human,JennyD
OTHER,Toys,Chomp
OTHER,Toys,Princeton
OTHER,Toys,Hammock
OTHER,Toys,Clamshell
OTHER,Toys,Ball
OTHER,Toys,Cheese
OTHER,Toys,Tree
OTHER,Toys,Beanbag
OTHER,Toys,Tunnel
OTHER,Toys,Ripplerug
OTHER,Places,Annex
OTHER,Places,Kitchen
OTHER,Other,Camera
OTHER,Other,Closeup_Stream
OTHER,Other,Mailbag
OTHER,Other,Adoption
#
# Alternative names - TAG,[NAME],[Alt1:Alt2:Alt3]
#
# Categories
ALTNAME,PateAChoux,Rouxs:Choux:pate-a-choux
ALTNAME,LeagueAndWeathercats,League:Weathercats
ALTNAME,EnglishDesserts,Desserts:Dessert
ALTNAME,SongAndDance,Squints:Quintet:dancers:dance:Quintets
ALTNAME,Coffees,Coffee:Stars
ALTNAME,Fish,angels
ALTNAME,HazelsSeven,Seven:Hazels
# Kittens and cats
ALTNAME,Beignet,Ben
ALTNAME,Croquembouche,Cro:Croquie
ALTNAME,Eclair,Claire:Eclaire
ALTNAME,Custard,Custaru
ALTNAME,Haddock,Haddie
ALTNAME,Pomfret,Pom:
ALTNAME,Halibut,Hal
ALTNAME,Tarragon,Terrorgon:Terry
ALTNAME,Chamomile,Chamie:Cammi
ALTNAME,Mandoline,Mandy:Pandy:Mandi:Mandolin
ALTNAME,ChaCha,Cha
ALTNAME,Eddie,Toonki
ALTNAME,Garamond,Gary
ALTNAME,Wingdings,Winnie
ALTNAME,Charlie,Charwee
ALTNAME,Loganberry,Loganbunny:Logan
ALTNAME,Acro,Quakro
ALTNAME,Smokey,Smoggie
ALTNAME,Waltz,Walt
ALTNAME,Foxtrot,Foxy:Foxie
ALTNAME,MrA,mr
# Concepts
ALTNAME,Closeup_Stream,phonestream:closeup
ALTNAME,Adoption,Adoot:Adootion
